id,codigo,nombre,Peso[Kg],unidad,precio público sin IVA,precio mínimo de venta,precio mayoreo sin IVA,precio distribuidor sin IVA,Precio Medio Mayoreo sin IVA,Marca,Codigo SAT,ean,Volumen[cm3],,Familia,Descripción Familia
18022,CB-ASPI-12,"Bolsa con 2 carbones de repuesto para ASPI-12, TRUPER",0.025,Par,111.21,75,90.52,64.66,99.14,Truper,26101400,7.50624E+12,91.267,,P240,Carbones para máquinas
18023,CB-ES-4-1/2N-12,"Bolsa con 2 carbones de repuesto para ESMA-4-1/2N, TRUPER",0.005,Par,62.93,43,51.72,37.07,56.9,Truper,26101400,7.50624E+12,44.604,,P240,Carbones para máquinas
18025,GU-151,"Guantes de poliéster recubiertos de nitrilo, CH, TRUPER",0.051,Par,56.03,42,47.41,36.21,50.86,Truper,46181500,7.50624E+12,431.615,,P071,Guantes
18026,GU-152,"Guantes de poliéster recubiertos de nitrilo, M, TRUPER",0.064,Par,56.03,42,47.41,36.21,50.86,Truper,46181500,7.50624E+12,422.856,,P071,Guantes
18027,GU-153,"Guantes de poliéster recubiertos de nitrilo, G, TRUPER",0.061,Par,56.03,42,47.41,36.21,50.86,Truper,46181500,7.50624E+12,436.54,,P071,Guantes
18064,PUNZ-3,"Juego de 3 embutidores de clavos, TRUPER",0.185,Set,171.55,119,142.24,102.59,159.48,Truper,23241602,7.50121E+12,404.833,,P773,Cinceles y punzones
18066,VASO-430,"Vaso plástico de repuesto para PIPI-430/431/432, TRUPER",0.155,Pieza,99.14,69,81.9,59.48,90.52,Truper,31162800,7.50624E+12,2900.3,,P184,Pistolas para pintar (refacciones y accesorios)
18067,VASO-420,"Vaso aluminio de repuesto para PIPI-411/420/421/422, TRUPER",0.209,Pieza,111.21,75,90.52,64.66,99.14,Truper,31162800,7.50624E+12,1647.3,,P184,Pistolas para pintar (refacciones y accesorios)
18068,VASO-410,"Vaso plástico de repuesto para PIPI-410, TRUPER",0.065,Pieza,70.69,49,59.48,42.24,64.66,Truper,31162800,7.50624E+12,907.12,,P184,Pistolas para pintar (refacciones y accesorios)
18069,VASO-400,"Vaso aluminio de repuesto para PIPI-400, TRUPER",0.099,Pieza,93.97,65,79.31,56.03,85.34,Truper,31162800,7.50624E+12,633.888,,P184,Pistolas para pintar (refacciones y accesorios)
18075,CORAL-6,"Juego de 4 conectores rápidos y 2 coples, de latón, TRUPER",0.261,Juego,237.07,175,197.41,150.86,214.66,Truper,27131600,7.50624E+12,413.873,,P229,Accesorios neumáticos
18084,COBI-9/16,"Brocasierra bimetálica 9/16', TRUPER EXPERT",0.035,Pieza,66.38,49,55.17,42.24,59.48,Expert,23242113,7.50121E+12,216.238,,P506,Brocasierras bimetálicas
18085,COBI-5/8,"Brocasierra bimetálica 5/8', TRUPER EXPERT",0.04,Pieza,75,55,62.07,47.41,68.1,Expert,23242113,7.50121E+12,222.525,,P506,Brocasierras bimetálicas
18086,COBI-3/4,"Brocasierra bimetálica 3/4', TRUPER EXPERT",0.04,Pieza,87.93,65,73.28,56.03,80.17,Expert,23242113,7.50121E+12,201.143,,P506,Brocasierras bimetálicas
18087,COBI-7/8,"Brocasierra bimetálica 7/8', TRUPER EXPERT",0.056,Pieza,100.86,75,83.62,64.66,92.24,Expert,23242113,7.50121E+12,223.882,,P506,Brocasierras bimetálicas
18088,COBI-1,"Brocasierra bimetálica 1', TRUPER EXPERT",0.07,Pieza,111.21,82,92.24,70.69,100.86,Expert,23242113,7.50121E+12,189.312,,P506,Brocasierras bimetálicas
18091,COBI-1-3/16,"Brocasierra bimetálica 1-3/16', TRUPER EXPERT",0.1,Pieza,128.45,95,107.76,81.9,116.38,Expert,23242113,7.50121E+12,239.4,,P506,Brocasierras bimetálicas
18093,COBI-1-3/8,"Brocasierra bimetálica 1-3/8', TRUPER EXPERT",0.11,Pieza,142.24,105,116.38,90.52,128.45,Expert,23242113,7.50121E+12,253.147,,P506,Brocasierras bimetálicas
18095,COBI-1-9/16,"Brocasierra bimetálica 1-9/16', TRUPER EXPERT",0.101,Pieza,161.21,119,133.62,102.59,145.69,Expert,23242113,7.50121E+12,303.03,,P506,Brocasierras bimetálicas
