CIDEXISTENCIA,CIDALMACEN,CIDPRODUCTO,CIDEJERCICIO,CTIPOEXISTENCIA,CENTRADASINICIALES,CSALIDASINICIALES,CCOSTOINICIALENTRADAS,CCOSTOINICIALSALIDAS,CENTRADASPERIODO1,CENTRADASPERIODO2,CENTRADASPERIODO3,CENTRADASPERIODO4,CENTRADASPERIODO5,CENTRADASPERIODO6,CENTRADASPERIODO7,CENTRADASPERIODO8,CENTRADASPERIODO9,CENTRADASPERIODO10,CENTRADASPERIODO11,CENTRADASPERIODO12,CSALIDASPERIODO1,CSALIDASPERIODO2,CSALIDASPERIODO3,CSALIDASPERIODO4,CSALIDASPERIODO5,CSALIDASPERIODO6,CSALIDASPERIODO7,CSALIDASPERIODO8,CSALIDASPERIODO9,CSALIDASPERIODO10,CSALIDASPERIODO11,CSALIDASPERIODO12,CCOSTOENTRADASPERIODO1,CCOSTOENTRADASPERIODO2,CCOSTOENTRADASPERIODO3,CCOSTOENTRADASPERIODO4,CCOSTOENTRADASPERIODO5,CCOSTOENTRADASPERIODO6,CCOSTOENTRADASPERIODO7,CCOSTOENTRADASPERIODO8,CCOSTOENTRADASPERIODO9,CCOSTOENTRADASPERIODO10,CCOSTOENTRADASPERIODO11,CCOSTOENTRADASPERIODO12,CCOSTOSALIDASPERIODO1,CCOSTOSALIDASPERIODO2,CCOSTOSALIDASPERIODO3,CCOSTOSALIDASPERIODO4,CCOSTOSALIDASPERIODO5,CCOSTOSALIDASPERIODO6,CCOSTOSALIDASPERIODO7,CCOSTOSALIDASPERIODO8,CCOSTOSALIDASPERIODO9,CCOSTOSALIDASPERIODO10,CCOSTOSALIDASPERIODO11,CCOSTOSALIDASPERIODO12,CBANCONGELADO,CTIMESTAMP
135383,1,8836,9,1,651,624,22718.49,21836.73,651,651,651,651,651,651,651,651,651,651,651,651,624,624,624,624,624,624,624,624,624,624,624,624,22718.49,22718.49,22718.49,22718.49,22718.49,22718.49,22718.49,22718.49,22718.49,22718.49,22718.49,22718.49,21836.73,21836.73,21836.73,21836.73,21836.73,21836.73,21836.73,21836.73,21836.73,21836.73,21836.73,21836.73,0,
135384,1,8837,9,1,51,31,14101.56,9267.23,51,51,51,51,51,51,51,51,51,51,51,51,31,31,31,31,31,31,31,31,31,31,31,31,14101.56,14101.56,14101.56,14101.56,14101.56,14101.56,14101.56,14101.56,14101.56,14101.56,14101.56,14101.56,9267.23,9267.23,9267.23,9267.23,9267.23,9267.23,9267.23,9267.23,9267.23,9267.23,9267.23,9267.23,0,
135385,1,8838,9,1,4,4,316.68,316.68,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,316.68,316.68,316.68,316.68,316.68,316.68,316.68,316.68,316.68,316.68,316.68,316.68,316.68,316.68,316.68,316.68,316.68,316.68,316.68,316.68,316.68,316.68,316.68,316.68,0,
135386,1,8839,9,1,12,12,190.08,190.08,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,190.08,190.08,190.08,190.08,190.08,190.08,190.08,190.08,190.08,190.08,190.08,190.08,190.08,190.08,190.08,190.08,190.08,190.08,190.08,190.08,190.08,190.08,190.08,190.08,0,
135387,1,8840,9,1,1831,1760,20951.01,20383.44,1831,1831,1831,1831,1831,1831,1831,1831,1831,1831,1831,1831,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,20951.01,20951.01,20951.01,20951.01,20951.01,20951.01,20951.01,20951.01,20951.01,20951.01,20951.01,20951.01,20383.44,20383.44,20383.44,20383.44,20383.44,20383.44,20383.44,20383.44,20383.44,20383.44,20383.44,20383.44,0,
135388,1,8841,9,1,340,242,4127.1,3295.32,340,340,340,340,340,340,340,340,340,340,340,340,242,242,242,242,242,242,242,242,242,242,242,242,4127.1,4127.1,4127.1,4127.1,4127.1,4127.1,4127.1,4127.1,4127.1,4127.1,4127.1,4127.1,3295.32,3295.32,3295.32,3295.32,3295.32,3295.32,3295.32,3295.32,3295.32,3295.32,3295.32,3295.32,0,
135389,1,8842,9,1,410,298,4895.6,3983.38,410,410,410,410,410,410,410,410,410,410,410,410,298,298,298,298,298,298,298,298,298,298,298,298,4895.6,4895.6,4895.6,4895.6,4895.6,4895.6,4895.6,4895.6,4895.6,4895.6,4895.6,4895.6,3983.38,3983.38,3983.38,3983.38,3983.38,3983.38,3983.38,3983.38,3983.38,3983.38,3983.38,3983.38,0,
135390,1,8843,9,1,340,260,4114.7,3436.41,340,340,340,340,340,340,340,340,340,340,340,340,260,260,260,260,260,260,260,260,260,260,260,260,4114.7,4114.7,4114.7,4114.7,4114.7,4114.7,4114.7,4114.7,4114.7,4114.7,4114.7,4114.7,3436.41,3436.41,3436.41,3436.41,3436.41,3436.41,3436.41,3436.41,3436.41,3436.41,3436.41,3436.41,0,
135391,1,8844,9,1,280,147,3269.3,2092.16,280,280,280,280,280,280,280,280,280,280,280,280,147,147,147,147,147,147,147,147,147,147,147,147,3269.3,3269.3,3269.3,3269.3,3269.3,3269.3,3269.3,3269.3,3269.3,3269.3,3269.3,3269.3,2092.16,2092.16,2092.16,2092.16,2092.16,2092.16,2092.16,2092.16,2092.16,2092.16,2092.16,2092.16,0,
135392,1,8845,9,1,125,105,3049.4,2648.44,125,125,125,125,125,125,125,125,125,125,125,125,105,105,105,105,105,105,105,105,105,105,105,105,3049.4,3049.4,3049.4,3049.4,3049.4,3049.4,3049.4,3049.4,3049.4,3049.4,3049.4,3049.4,2648.44,2648.44,2648.44,2648.44,2648.44,2648.44,2648.44,2648.44,2648.44,2648.44,2648.44,2648.44,0,
135393,1,8846,9,1,166,164,3947.09,4000.32,166,166,166,166,166,166,166,166,166,166,166,166,164,164,164,164,164,164,164,164,164,164,164,164,3947.09,3947.09,3947.09,3947.09,3947.09,3947.09,3947.09,3947.09,3947.09,3947.09,3947.09,3947.09,4000.32,4000.32,4000.32,4000.32,4000.32,4000.32,4000.32,4000.32,4000.32,4000.32,4000.32,4000.32,0,
135394,1,8847,9,1,73,73,2638.42,2661.53,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2638.42,2638.42,2638.42,2638.42,2638.42,2638.42,2638.42,2638.42,2638.42,2638.42,2638.42,2638.42,2661.53,2661.53,2661.53,2661.53,2661.53,2661.53,2661.53,2661.53,2661.53,2661.53,2661.53,2661.53,0,
135395,1,8848,9,1,266,265,10118.6,10105.92,266,266,266,266,266,266,266,266,266,266,266,266,265,265,265,265,265,265,265,265,265,265,265,265,10118.6,10118.6,10118.6,10118.6,10118.6,10118.6,10118.6,10118.6,10118.6,10118.6,10118.6,10118.6,10105.92,10105.92,10105.92,10105.92,10105.92,10105.92,10105.92,10105.92,10105.92,10105.92,10105.92,10105.92,0,
