2965,1,11
2976,1,59
2973,1,19
3058,3,-12
103,3,7
803,1,108
5205,1,1
2157,3,-28
3977,3,9
1385,3,9
777,3,6
3482,1,-7
5120,1,-1
661,3,866.2
2206,3,18
232,1,1402
2199,1,637
2200,1,403
2169,1,1445
2215,1,157
79,3,-669.6
171,3,-1
1414,3,-3046
3144,3,-10
383,1,1912
446,3,-96
1309,1,36
150,1,12
3861,1,-14
713,3,2
359,1,7696
387,1,832
4153,1,0
4154,1,0
1788,1,295
261,1,1920
3402,1,-19
4336,1,203
3747,1,1
3748,1,0
1347,1,51
4103,3,0
2555,1,-3
291,3,39
383,3,-2339
4611,1,27
3473,3,-4
5217,1,-113
3996,3,2
107,3,9
109,3,5
664,3,266.8
81,3,410.7
38,3,-395
888,3,-38
1397,3,3
1055,3,0
5225,1,55
4524,1,1378
5205,3,18
3689,1,-2
3945,3,-4
4381,3,1
1894,3,15
1349,1,13
750,1,3146.7
5042,1,38
3075,1,91
3950,1,-33
3945,1,-3
3811,1,-105
4806,3,0
4073,3,2
5108,3,28
4127,3,-180
4124,3,-172
1423,3,-562
4132,3,-9
5163,3,-147
3116,4,4
5203,4,18
3249,3,-7
3502,3,-1
5272,1,10
5273,1,46
159,1,9
2779,4,127
862,1,29
3159,1,530
3147,1,-8
712,3,-19
474,3,-35
1332,1,158
5068,1,-18
5092,1,114
5217,3,-5
3936,1,8
1385,1,17
2584,3,3
3844,1,10
3842,1,0
2890,3,-22
3705,3,-1
5032,3,4
2790,1,17
1311,4,0
5062,1,-1
5080,1,-1
5107,1,30.4
2226,1,4
3143,1,30
270,1,2024
259,1,585
3998,4,4
2211,1,200
2181,1,111
2216,1,65
2171,1,816
5112,1,103
2559,3,-14
751,3,218.5
548,1,-1
323,3,1025
198,3,-95
741,1,1
4785,1,18
185,4,194
1312,1,133
1360,1,104
79,1,841.5
2201,1,292
234,1,1402
4766,1,16
2806,1,-8
1404,1,3
3546,3,31
4747,1,42
1137,3,-6
3856,3,-227
5123,1,3481
3115,3,2
2170,1,730
750,3,152.5
4946,1,5
3154,1,202
5111,1,-6
2540,1,-3
55,1,64
5285,1,141
3885,1,9
184,3,120
158,1,13
5286,1,48
2872,1,-16
58,1,-8
161,1,0
3310,1,-1
4376,3,-41
2416,3,-101
4854,1,14
5169,1,3
276,3,-668
414,1,0
4759,1,12
1298,1,344.5
1811,3,22
1299,3,20
2640,1,-1
4747,3,9
2648,1,30
2601,1,80
3831,3,-10
2318,3,-12
4099,1,-735
373,1,370
4522,1,-69
2475,1,9
3838,3,-5
1436,4,18
3022,4,0
4611,3,67
695,1,20
3538,3,-10
3951,3,-28
1325,1,530
4511,1,72
3376,1,-1
87,1,824.3
3546,4,0
355,1,738
15,1,23
4033,3,15
3803,3,33
3534,3,-7
1746,1,26
85,3,-435.25
770,1,9
1299,1,56
675,1,1489.4
4727,1,6
5287,1,41
116,3,-30
3532,4,0
1396,1,-5
174,3,7
4975,1,2
705,3,-4
328,1,692
1351,3,-5
199,3,-54
5259,3,-23
5294,1,4
4062,1,3320
4343,1,184
4344,1,-4
1443,1,172
376,1,554
5295,1,0
